0,1,2,3,4,5,6,7,8
1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0
481.79,551.61,573.67,605.61,596.59,653.31,687.44,717.68,711.79
395.62,455.4,474.7$,502.68,490.93,539.8,570.99,594.14,584.05
212.56,244.59,254.35,268.66,261.36,287.18,303.11,314.63,308.0
9.06,10.1,11.2,12.52,13.57,14.73,16.19,17.61,19.04
174.0,200.7,209.2,221.5,216.0,237.9,251.7,261.9,257.0
20.8,23.9,23.2,21.4,20.8,20.0,19.8,19.6,22.1
9.3,10.2,10.2,10.7,11.0,12.5,13.6,13.7,12.6
13.2,15.6,16.9,17.5,17.7,19.1,21.3,22.2,21.8
84.0,99.0,103.3,112.5,106.7,121.3,127.2,131.8,124.3
26.6,30.2,32.2,34.2,33.8,36.8,39.6,41.7,41.9
17.1,18.4,19.3,20.8,21.7,24.0,26.1,28.1,29.5
1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.5,2.5
3.4,3.6,3.7,3.9,4.0,4.2,4.6,4.9,5.0
1.0,1.1,1.2,1.3,1.4,1.6,1.9,2.1,2.2
0.8,0.9,0.9,1.0,1.0,1.0,1.2,1.3,1.2
1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.2,1.1
1.3,1.3,1.4,1.6,1.6,1.7,1.9,2.0,2.1
4.7,5.2,5.7,6.2,6.4,7.7,8.2,9.0,9.9
1.0,1.1,1.1,1.2,1.3,1.4,1.6,1.7,1.9
1.9,2.1,2.2,2.4,2.6,2.9,3.1,3.4,3.6
1.2,1.5,1.8,2.0,2.1,2.4,2.9,3.4,3.5
3.0,3.4,4.1,4.4,4.3,4.2,4.1,4.8,4.8
1.3,1.5,2.0,2.1,1.9,1.5,1.2,1.8,1.7
1.7,1.9,2.1,2.3,2.4,2.7,2.9,3.0,3.1
85.37,93.52,97.12,100.33,102.96,111.71,118.34,124.74,127.84
22.74,24.73,25.42,25.97,26.38,28.43,29.84,31.18,31.61
4.32,4.77,5.23,5.79,6.21,6.67,7.26,7.81,8.36
58.3,64.02,66.46,68.57,70.37,76.61,81.24,85.75,87.87
19.7,22.4,22.6,23.1,23.4,26.5,28.8,30.3,30.9
31.8,34.4,36.3,37.3,38.2,40.6,42.5,44.7,45.5
6.8,7.22,7.56,8.17,8.77,9.51,9.94,10.75,11.47
9.88,10.71,11.26,12.03,12.8,13.81,14.59,15.68,16.55
0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25
13.6,14.7,15.4,16.4,17.4,18.7,19.7,21.1,22.2
24.3,26.9,29.4,32.3,35.1,38.1,40.7,44.0,47.1
10.7,12.2,14.0,15.9,17.7,19.4,21.0,22.9,24.9
9.6,11.0,12.8,14.7,16.5,18.1,19.8,21.6,23.5
1.1,1.2,1.2,1.2,1.2,1.3,1.2,1.3,1.4
3.07,3.49,3.69,3.86,4.04,4.3,4.65,4.93,5.09
3.72,3.99,4.14,4.37,4.6,4.89,5.11,5.42,5.65
0.8,2.7,1.8,2.6,2.7,1.8,-1.9,-1.2,-0.1
10.81,12.85,13.8,15.04,15.08,17.07,18.54,19.79,19.92
223.37,257.45,268.15,283.7,276.44,304.24,321.64,334.42,327.92
269.23,307.02,319.32,336.95,335.23,366.14,384.33,403.05,403.79
258.42,294.17,305.52,321.91,320.15,349.07,365.79,383.25,383.87
