year,r_published,r_perfect,r_error,gK_published,gK_perfect,gK_error,K_star,gK_exact_In_over_Kstar,gK_deltaK_over_K
1958,0.47,0.4677443810936567,-0.002255618906343293,0.049,,,710.9,,
1959,0.45,0.44899341850561364,-0.0010065814943863716,0.067,0.03812069208046142,-0.028879307919538584,738.0,,0.03812069208046142
1960,0.45,0.45043384563035216,0.0004338456303521476,0.062,0.023983739837398436,-0.03801626016260157,755.7,,0.023983739837398436
1961,0.46,0.45984816231653464,-0.0001518376834653834,0.058,0.02606854571920065,-0.031931454280799354,775.4,,0.02606854571920065
1962,0.46,0.45779304041111696,-0.0022069595888830618,0.067,0.03469177198865099,-0.03230822801134901,802.3,,0.03469177198865099
1963,0.45,0.45014690170940164,0.0001469017094016256,0.07,0.037018571606630996,-0.03298142839336901,832.0,,0.037018571606630996
1964,0.45,0.4486963767767575,-0.0013036232232425116,0.072,0.048437499999999946,-0.02356250000000005,872.3,,0.048437499999999946
1965,0.43,0.43171703949197404,0.0017170394919740484,0.083,0.0687836753410524,-0.014216324658947607,932.3,,0.0687836753410524
1966,0.42,0.41978675391198417,-0.00021324608801581713,0.086,0.088061782687976,0.0020617826879760076,1014.4,,0.088061782687976
1967,0.42,0.4190301921317475,-0.0009698078682524591,0.075,0.07748422712933756,0.00248422712933756,1093.0,,0.07748422712933756
1968,0.41,0.4142212142212143,0.004221214221214298,0.074,0.10018298261665141,0.026182982616651418,1202.5,,0.10018298261665141
1969,0.4,0.40013275307392954,0.00013275307392951463,0.076,0.09846153846153853,0.022461538461538533,1320.9,,0.09846153846153853
1970,0.42,0.41806950751494576,-0.0019304924850542249,0.064,0.10031039442804147,0.03631039442804147,1453.4,,0.10031039442804147
1971,0.42,0.4236150990169377,0.0036150990169377395,0.07,0.10011008669327094,0.030110086693270935,1598.9,,0.10011008669327094
1972,0.4,0.3994341797741545,-0.0005658202258455036,0.077,0.08680968165613856,0.00980968165613856,1737.7,,0.08680968165613856
1973,0.39,0.40533983111732197,0.015339831117321956,0.083,0.11659089601196979,0.03359089601196978,1940.3,,0.11659089601196979
1974,0.36,0.36251332393094365,0.0025133239309436672,0.064,0.0638012651334255,-0.00019873486657449868,2387.1,0.0638012651334255,0.2302736690202546
1975,0.41,0.4131650895996325,0.00316508959963252,0.045,0.04523800578577601,0.00023800578577601317,2661.7,0.04523800578577601,0.11503497968245985
1976,0.4,0.40063705933017196,0.0006370593301719407,0.056,0.05609079704190633,9.07970419063292e-05,2920.8,0.05609079704190633,0.09734380283277619
1977,0.38,0.38390486637732313,0.003904866377323124,0.065,0.06542185338865837,0.0004218533886583692,3253.5,0.06542185338865837,0.11390714872637626
1978,0.36,0.36368464074175283,0.0036846407417528426,0.071,0.07100884861972129,8.848619721293915e-06,3774.6,0.07100884861972129,0.1601659751037344
1979,0.36,0.3583209145341967,-0.0016790854658033094,0.068,0.06821688914134243,0.00021688914134242177,4225.2,0.06821688914134243,0.11937688761723095
1980,0.36,0.35254375273981514,-0.007456247260184845,0.053,0.05208213905495045,-0.0009178609450495451,4884.4,0.05208213905495045,0.15601628325286374
1981,0.36,0.3610990701493455,0.0010990701493455157,0.059,0.058767738067118484,-0.0002322619328815126,5503.7,0.058767738067118484,0.12679141757431828
1982,0.38,0.3825840325703788,0.0025840325703788136,0.043,0.04251604314582196,-0.0004839568541780345,5859.2,0.04251604314582196,0.0645929102240311
1983,0.36,0.3647093330195562,0.004709333019556228,0.048,0.04761998520028025,-0.00038001479971975366,6094.71,0.04761998520028025,0.04019490715456039
1984,0.37,0.36743990902539275,-0.002560090974607243,0.067,0.0667240797710523,-0.00027592022894770696,6432.91,0.0667240797710523,0.055490745252850394
1985,0.38,0.37835676846316896,-0.0016432315368310468,0.059,0.05853030818138983,-0.000469691818610167,6706.44,0.05853030818138983,0.04252041455577643
1986,0.4,0.39833832440653133,-0.0016616755934686922,0.057,0.056522195076326574,-0.00047780492367342775,7056.52,0.056522195076326574,0.05220057139108094
1987,0.39,0.393786472539699,0.003786472539698993,0.057,0.056612398985430315,-0.00038760101456968704,7459.32,0.056612398985430315,0.05708196107996565
1988,0.39,0.38772466507984354,-0.0022753349201564688,0.056,0.05596928914658582,-3.071085341418284e-05,7895.58,0.05596928914658582,0.05848522385418513
1989,0.39,0.3945576465196074,0.004557646519607383,0.053,0.05336876705665223,0.00036876705665223053,8387.49,0.05336876705665223,0.062301946152150935
